name,birthday,country
Tom Hanks,1956-07-09,UNITED STATES
Wagner Moura,1976-06-27,BRAZIL
Denzel Washington,1954-12-28,UNITED STATES
Emma Watson,1990-04-15,UNITED KINGDOM
Leonardo DiCaprio,1974-11-11,UNITED STATES
Charlize Theron,1975-08-07,SOUTH AFRICA
Shah Rukh Khan,1965-11-02,INDIA
Angelina Jolie,1975-06-04,UNITED STATES
Jackie Chan,1954-04-07,HONG KONG
Penélope Cruz,1974-04-28,SPAIN
Johnny Depp,1963-06-09,UNITED STATES
Gal Gadot,1985-04-30,ISRAEL
Chris Hemsworth,1983-08-11,AUSTRALIA
Lupita Nyong'o,1983-03-01,KENYA
Robert Downey Jr.,1965-04-04,UNITED STATES
Cate Blanchett,1969-05-14,AUSTRALIA
Will Smith,1968-09-25,UNITED STATES
Priyanka Chopra,1982-07-18,INDIA
Ryan Gosling,1980-11-12,CANADA
Jennifer Lawrence,1990-08-15,UNITED STATES
Hugh Jackman,1968-10-12,AUSTRALIA
Kate Winslet,1975-10-05,UNITED KINGDOM
Idris Elba,1972-09-06,UNITED KINGDOM
Emma Stone,1988-11-06,UNITED STATES
Tom Holland,1996-06-01,UNITED KINGDOM
Saoirse Ronan,1994-04-12,IRELAND
Benedict Cumberbatch,1976-07-19,UNITED KINGDOM
Margot Robbie,1990-07-02,AUSTRALIA
Chris Evans,1981-06-13,UNITED STATES
Zendaya,1996-09-01,UNITED STATES
Henry Cavill,1983-05-05,UNITED KINGDOM
Brie Larson,1989-10-01,UNITED STATES
Tessa Thompson,1983-10-27,UNITED STATES
Timothée Chalamet,1995-12-27,UNITED STATES
Florence Pugh,1996-02-03,UNITED KINGDOM
John Boyega,1992-03-17,UNITED KINGDOM
Lupita Nyong'o,1983-03-01,KENYA
Rami Malek,1981-05-12,EGYPT
Michael B. Jordan,1987-02-09,UNITED STATES
Keanu Reeves,1964-09-02,CANADA
Charlize Theron,1975-08-07,SOUTH AFRICA
Natalie Portman,1981-06-09,ISRAEL
Eddie Redmayne,1982-01-06,UNITED KINGDOM
Saoirse Ronan,1994-04-12,IRELAND
Tom Hardy,1977-09-15,UNITED KINGDOM
Margot Robbie,1990-07-02,AUSTRALIA
Chris Pratt,1979-06-13,UNITED STATES
Jennifer Aniston,1969-02-11,UNITED STATES
Mark Ruffalo,1967-11-22,UNITED STATES
Emma Stone,1988-11-06,UNITED STATES
Daniel Craig,1968-03-02,UNITED KINGDOM
Marion Cotillard,1975-09-30,FRANCE
Ryan Reynolds,1976-10-23,CANADA
Alicia Vikander,1988-10-03,SWEDEN
Colin Farrell,1976-05-31,IRELAND
Saoirse Ronan,1994-04-12,IRELAND
Benedict Cumberbatch,1976-07-19,UNITED KINGDOM
Margot Robbie,1990-07-02,AUSTRALIA
Chris Evans,1981-06-13,UNITED STATES
Zendaya,1996-09-01,UNITED STATES
Henry Cavill,1983-05-05,UNITED KINGDOM
Brie Larson,1989-10-01,UNITED STATES
